date,date_affichage,titre,resume,image,tag,tag_label,lien,actif
2026-03-28,Samedi 28 mars 2026 · 16h00,Chambly vs Fos-sur-Mer,"Dernière journée de poule B du Top 12. Venez soutenir l'équipe 1 à la Halle Marie-Amélie Le Fur. Entrée : 5€.",https://chamblybadminton.fr/wp-content/uploads/2024/11/HD-138-1198x800.jpg,match,Match Top 12,,x
2026-03-28,Samedi 28 mars 2026 · 12h00,Chambly vs Salbris (ABS),"Journée 9 du championnat Nationale 2. Entrée libre et gratuite à la Halle Marie-Amélie Le Fur.",https://chamblybadminton.fr/wp-content/uploads/2024/11/HD-114-1198x800.jpg,match,Nationale 2,,x
2026-05-01,Mai 2026,Tournoi de Chambly,"Le rendez-vous annuel du club. Toutes catégories, du Minibad aux seniors. Inscriptions à venir sur Badnet.",https://chamblybadminton.fr/wp-content/uploads/2024/09/Pic-215-18-mai-2024-1198x800.jpg,tournoi,Tournoi,,x
2026-04-15,Avril — Mai 2026,Playoffs Top 12,"Phase finale du championnat de France par équipes. Suivez la route du BCCO vers un 9ᵉ titre historique !",https://chamblybadminton.fr/wp-content/uploads/2023/05/Victoire-Top-12-2023-mod-1-1400x672.jpg,event,Événement,,x
2026-06-01,Juin 2026,Fête de fin de saison,"Tournoi loisir, remise des récompenses et barbecue pour clôturer la saison 2025-2026 tous ensemble.",https://chamblybadminton.fr/wp-content/uploads/2024/10/Pic-199-21-septembre-2024-801x800.jpg,event,Vie du club,,x
2026-09-01,Septembre 2026,Ouverture inscriptions 2026-2027,"La nouvelle saison se prépare dès cet été. Portes ouvertes et forum des associations en septembre.",https://chamblybadminton.fr/wp-content/uploads/2024/11/HD-120-1198x800.jpg,event,Inscription,,x
